url,code
/en/site-map.html,200
/en/inventory.html,200
/inventory/results/id.4.app,200
/en/inventory.html/__app/inventory/results/tiguan.app,200
/en/inventory.html/__app/inventory/results/taos.app,200
/en/inventory.html/__app/inventory/results/atlas-cross-sport.app,200
/en/inventory.html/__app/inventory/results/atlas.app,200
/en/inventory.html/__app/inventory/results/jetta.app,200
/en/inventory.html/__app/inventory/results/jetta-gli.app,200
/en/inventory.html/__app/inventory/results/arteon.app,200
/en/inventory.html/__app/inventory/results/golf-r.app,200
/en/inventory.html/__app/inventory/results/golf-gti.app,200
/en/cpo.html,200
/en/cpo-results.html,200
/en/builder.html,200
/en/builder.html/__app/id-4.app,200
/en/builder.html/__app/id-4/id-4-standard.app,200
/en/builder.html/__app/id-4/id-4-pro.app,200
/en/builder.html/__app/id-4/id-4-awd-pro.app,200
/en/builder.html/__app/id-4/id-4-s.app,200
/en/builder.html/__app/id-4/id-4-pro-s.app,200
/en/builder.html/__app/id-4/id-4-awd-pro-s.app,200
/en/builder.html/__app/id-4/id-4-pro-s-plus.app,200
/en/builder.html/__app/id-4/id-4-awd-pro-s-plus.app,200
/en/builder.html/__app/atlas.app,200
/en/builder.html/__app/atlas/se.app,200
/en/builder.html/__app/atlas/se-with-technology.app,200
/en/builder.html/__app/atlas/sel.app,200
/en/builder.html/__app/atlas/sel-r-line-black.app,200
/en/builder.html/__app/atlas/sel-premium-r-line.app,200
/en/builder.html/__app/atlas-cross-sport.app?,200
/en/builder.html/__app/atlas-cross-sport/se.app?,200
/en/builder.html/__app/atlas-cross-sport/se-with-technology.app,200
/en/builder.html/__app/atlas-cross-sport/sel.app,200
/en/builder.html/__app/atlas-cross-sport/sel-r-line-black.app,200
/en/builder.html/__app/atlas-cross-sport/sel-premium-r-line.app,200
/en/builder.html/__app/tiguan.app,200
/en/builder.html/__app/tiguan/s.app,200
/en/builder.html/__app/tiguan/se.app,200
/en/builder.html/__app/tiguan/se-r-line-black.app,200
/en/builder.html/__app/tiguan/sel-r-line.app,200
/en/builder.html/__app/taos.app,200
/en/builder.html/__app/taos/s.app,200
/en/builder.html/__app/taos/se.app,200
/en/builder.html/__app/taos/sel.app,200
/en/builder.html/__app/jetta.app,200
/en/builder.html/__app/jetta/s.app,200
/en/builder.html/__app/jetta/sport.app,200
/en/builder.html/__app/jetta/se.app,200
/en/builder.html/__app/jetta/sel.app,200
/en/builder.html/__app/jetta-gli.app,200
/en/builder.html/__app/jetta-gli/autobahn.app,200
/en/models/arteon.html,200
/en/builder.html/__app/arteon/se-r-line.app,200
/en/builder.html/__app/arteon/sel-r-line.app,200
/en/builder.html/__app/arteon/sel-premium-r-line.app,200
/en/builder.html/__app/golf-r.app,200
/en/builder.html/__app/golf-r/golf-r.app,200
/en/builder.html/__app/golf-r/golf-r-20th-anniversary-edition.app,200
/en/builder.html/__app/golf-gti.app,200
/en/builder.html/__app/golf-gti/s.app/en/builder.html/__app/golf-gti/s.app,200
/en/builder.html/__app/golf-gti/se.app,200
/en/builder.html/__app/golf-gti/autobahn.app,200
/en/models.html,200
/en/models/id-4.html,200
/en/models/atlas.html,200
/en/models/atlas-cross-sport.html,200
/en/models/tiguan.html,200
/en/models/taos.html,200
/en/models/jetta.html,200
/en/models/jetta-gli.html,200
/en/models/arteon.html,200
/en/models/golf-r.html,200
/en/models/golf-gti.html,200
/en/sedans.html,200
/en/suv.html,200
/en/compact-cars.html,200
/en/electric-vehicles.html,200
/en/electric-vehicles/electric-vehicles-articles.html,200
/en/models/id-buzz.html,200
/en/offers.html,200
/en/find-a-dealer.html,200
/en/dealers.html,200
/en/dealers.html/__app/all-offers.app,200
/en/financial-services.html,200
/en/financial-services/explore-financing.html,200
/en/financial-services/ready-to-apply.html,200
/en/financial-services/current-customers.html,200
/integrated/financial-services/payment-estimator/,200
/en/drive-bigger.html,200
/en/contact.html,200
/en/faq.html,200
/en/recalls/recall-faq.html,200
/en/maintenance.html,200
/en/iq-drive.html,200
/en/special-offers/military-bonus.html,200
/en/special-offers/college-grad-bonus.html,200
/en/ca-parts.html,200
/en/sponsorship.html,200
/en/corporate.html,200
/en/newsroom.html,200
/en/contact.html,200
https://media.vw.com/,200
/en/carefree-shopping.html,200
http://www.vwpartnerprogram.com/,200
http://vwcorporatefleet.com/,200
/en/carefree-coverage.html,200
https://knowyourvw.com/,200
/en/software-update.html,200
/en/owners.html,200
https://www.vwserviceandparts.com/,200
/en/emissions.html,200
/en/recalls.html,200
https://www.audiusa.com/iuvp/,200
/en/privacy.html#online-advertising,200
/en/privacy.html,200
/en/terms.html,200
/en.html?open=true,200
/en.html?open=true,200